zone_id,latitude,longitude,fetched_at,data_source,rainfall_30min,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3day,rainfall_7day
Z_22.5_93.0,22.5,93.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,7.6,7.6,45.1,98.6
Z_22.5_95.5,22.5,95.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,1.1,6.8,10.6,12.1,17.8,39.7,64.8
Z_22.5_95.0,22.5,95.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.8,2.7,2.7,4.3,5.7,16.9,57.1,87.2
Z_22.5_94.5,22.5,94.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,0.3,0.8,1.2,5.0,11.8,55.8,80.6
Z_22.5_96.0,22.5,96.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.6,1.3,2.5,2.9,5.1,12.1,35.9,57.9
Z_23.0_88.5,23.0,88.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.4,7.4,8.6,19.1,67.1
Z_23.0_88.0,23.0,88.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.3,7.6,10.0,24.1,55.8
Z_22.5_97.0,22.5,97.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,1.2,8.3,33.1,49.8
Z_22.5_97.5,22.5,97.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),5.2,5.2,5.2,5.2,6.1,10.5,51.9,65.6
Z_23.0_89.5,23.0,89.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.7,0.7,0.7,1.4,8.2,9.0,23.7,59.0
Z_23.0_90.0,23.0,90.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,0.4,0.4,0.5,8.3,10.5,24.6,59.8
Z_23.0_89.0,23.0,89.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,2.2,11.6,12.0,23.7,89.7
Z_23.0_91.5,23.0,91.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.7,1.7,1.7,2.2,11.4,14.1,28.6,58.9
Z_22.5_96.5,22.5,96.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,3.5,6.2,27.7,48.5
Z_23.0_90.5,23.0,90.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.6,0.6,0.6,0.6,2.9,8.6,28.5,77.7
Z_23.0_91.0,23.0,91.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),4.5,4.6,4.6,4.8,6.3,16.2,27.2,52.9
Z_23.0_92.0,23.0,92.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.6,1.8,2.1,2.4,8.2,9.1,26.1,60.6
