zone_id,latitude,longitude,soil_moisture_0_7cm,soil_moisture_7_28cm,fetched_at,data_source
Z_22.5_89.5,22.5,89.5,0.502,0.51,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_97.5,22.0,97.5,0.476,0.485,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_88.5,22.5,88.5,0.496,0.506,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_94.0,22.0,94.0,0.419,0.421,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_97.0,22.0,97.0,0.496,0.505,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_89.0,22.5,89.0,0.498,0.508,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_88.0,22.5,88.0,0.414,0.425,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.0_96.5,22.0,96.5,0.502,0.499,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_90.5,22.5,90.5,0.425,0.427,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_90.0,22.5,90.0,0.418,0.424,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_92.0,22.5,92.0,0.419,0.419,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_91.0,22.5,91.0,0.0,0.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_91.5,22.5,91.5,0.358,0.363,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_93.5,22.5,93.5,0.418,0.422,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_92.5,22.5,92.5,0.415,0.417,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_94.0,22.5,94.0,0.511,0.505,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_93.0,22.5,93.0,0.415,0.419,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_95.5,22.5,95.5,0.509,0.517,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_95.0,22.5,95.0,0.51,0.504,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_94.5,22.5,94.5,0.504,0.508,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_96.0,22.5,96.0,0.512,0.501,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_88.5,23.0,88.5,0.411,0.414,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_88.0,23.0,88.0,0.397,0.373,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_97.0,22.5,97.0,0.485,0.496,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_97.5,22.5,97.5,0.52,0.502,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_89.5,23.0,89.5,0.412,0.394,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_90.0,23.0,90.0,0.409,0.404,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_89.0,23.0,89.0,0.415,0.422,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_91.5,23.0,91.5,0.512,0.489,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_22.5_96.5,22.5,96.5,0.493,0.497,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_90.5,23.0,90.5,0.405,0.404,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_91.0,23.0,91.0,0.439,0.417,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_92.0,23.0,92.0,0.421,0.394,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_92.5,23.0,92.5,0.425,0.422,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_93.5,23.0,93.5,0.4,0.405,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_94.0,23.0,94.0,0.401,0.376,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_94.5,23.0,94.5,0.519,0.507,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_95.0,23.0,95.0,0.519,0.508,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_23.0_96.0,23.0,96.0,0.49,0.476,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
